pool_id,chain,project,symbol,pool_meta,tvl_usd,apy_base,apy_reward,stablecoin,pulled_at,project_canon
de9689f0-1604-4b04-8c96-2bb00fc0d4f5,Katana,morpho-v1,D3-DUSD,,203739,1.23652,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
df070127-29a7-475f-b499-169d59e1caeb,Arbitrum,morpho-v1,SSUPERUSD,,202572,,,True,2025-12-14T21:56:31.158038,morpho-v1
add4874c-80aa-465f-8cd4-17d57403fb2f,Hyperliquid,morpho-v1,HBUSDT,,197357,,,True,2025-12-14T21:56:31.158038,morpho-v1
28ceb01b-376e-4900-8e49-c590a46ac7e8,Hyperliquid,morpho-v1,MCUSR,,190001,7.47072,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
27be7cf4-cdfd-4844-8979-1f791d9500dc,Hyperliquid,morpho-v1,GTUSDE,,179262,7.45729,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
fcec4617-e07b-4e12-99cf-8739696baebe,Polygon,fluid-dex,USDC-USDT0,,174960,0.3382,,True,2025-12-14T21:56:31.158038,fluid-dex
2bd2f9c2-c92a-4b12-a0c6-ab882e326775,Berachain,euler-v2,HONEY,EVK Vault eHONEY-9,166301,0.7516,,True,2025-12-14T21:56:31.158038,euler-v2
4e779744-ce96-4185-a461-39447619989a,Linea,euler-v2,USDC,EVK Vault eUSDC-1,165472,1.72966,,True,2025-12-14T21:56:31.158038,euler-v2
bca320c4-ddd6-45a6-8d02-f9021f752f06,Arbitrum,morpho-v1,CSHYUSDC,,153296,4.97158,1.13516,True,2025-12-14T21:56:31.158038,morpho-v1
8395e9c7-a26d-4e9c-a6e9-7cc002244979,Base,euler-v2,USDC,EVK Vault eUSDC-49,152648,6.90814,,True,2025-12-14T21:56:31.158038,euler-v2
7ba506b8-9265-450d-9111-281fa6b57657,Base,euler-v2,USDC,EVK Vault eUSDC-46,151176,0.91336,,True,2025-12-14T21:56:31.158038,euler-v2
7967b626-a833-4e5a-b00b-15e2f5f41d55,Arbitrum,fluid-dex,USDE-USD₮0,,151004,3.59284,,True,2025-12-14T21:56:31.158038,fluid-dex
cdceab95-d86a-4c0f-8ea2-d0f0877ffe36,Optimism,morpho-v1,MWUSDC,,135278,0.94391,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
68f3baab-dff6-4218-abb2-bb9cb0d87921,Katana,morpho-v1,CSVBUSDC,,107066,3.21338,4.56602,True,2025-12-14T21:56:31.158038,morpho-v1
d3325c3d-cd57-4264-80e7-4cb0c9a087e0,Arbitrum,euler-v2,SUSDS,EVK Vault esUSDS-1,104214,0.0,,True,2025-12-14T21:56:31.158038,euler-v2
df7ccfd1-2642-4d79-851a-a5b07d9b8a97,Base,morpho-v1,GTUSDCP,,103572,5.40043,0.21226,True,2025-12-14T21:56:31.158038,morpho-v1
5b778e69-bfb8-4665-8e1d-37ccc9015fe3,Arbitrum,morpho-v1,EDGEUSDC,,100390,4.1049,1.72455,True,2025-12-14T21:56:31.158038,morpho-v1
653da8ee-9f30-4c16-bdcb-06b533afdf8e,Optimism,morpho-v1,EDGEUSDC,,100109,1.43479,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
dde11450-4d39-4b7e-8734-3c18436e7b51,Base,morpho-v1,SATUSD,,99628,,,True,2025-12-14T21:56:31.158038,morpho-v1
2d02765d-1444-46a0-8046-cd7af0c06ac1,Base,euler-v2,USDC,EVK Vault eUSDC-1,96331,4.0642,,True,2025-12-14T21:56:31.158038,euler-v2
